resume_id,resume_text,job_description,relevance_score,label,processed_resume,processed_jd,skill_overlap,cosine_similarity
0,"Role: DevOps Engineer. Experience: 12 years of experience in DevOps Engineer.. Education: BS in Computer Science. Skills: CI/CD, Keras, Selenium, Redis.","Looking for a Data Scientist with expertise in Computer Vision, JavaScript, Scikit-Learn, Azure, TensorFlow, Flask, Deep Learning.",0.1612767362950088,0,role devops engineer experience 12 year experience devops engineer education bs computer science skill ci cd keras selenium redis,look data scientist expertise computer vision javascript scikit learn azure tensorflow flask deep learning,0.0,0.6153676441662995
1,"Role: ML Engineer. Experience: 14 years of experience in ML Engineer.. Education: Self-taught Developer. Skills: Scrum, Ansible, Keras, TensorFlow.","Looking for a Data Scientist with expertise in REST API, TensorFlow, C#, GCP, Flask, DevOps.",0.2218882835525611,0,role ml engineer experience 14 year experience ml engineer education self teach developer skill scrum ansible keras tensorflow,look data scientist expertise rest api tensorflow c gcp flask devops,0.16666666666666666,0.49589036132847775
2,"Role: Frontend Developer. Experience: 15 years of experience in Frontend Developer.. Education: PhD in AI. Skills: Flask, PostgreSQL, AWS, Computer Vision, C#, Redis, GitHub, NoSQL.","Looking for a DevOps Engineer with expertise in Power BI, Problem Solving, DevOps, Ansible, AWS, Angular.",0.1863704481635348,0,role frontend developer experience 15 year experience frontend developer education phd ai skill flask postgresql aws computer vision c redis github nosql,look devops engineer expertise power bi problem solving devops ansible aws angular,0.16666666666666666,0.6813516933067372
3,"Role: ML Engineer. Experience: 15 years of experience in ML Engineer.. Education: BS in Computer Science. Skills: Data Analysis, HTML, NLP, DevOps, Tableau.","Looking for a ML Engineer with expertise in Pandas, Elasticsearch, FastAPI, DevOps, Excel, Node.js.",0.475007427599375,0,role ml engineer experience 15 year experience ml engineer education bs computer science skill data analysis html nlp devops tableau,look ml engineer expertise pandas elasticsearch fastapi devops excel node.js,0.16666666666666666,0.7209551184880574
4,"Role: Frontend Developer. Experience: 4 years of experience in Frontend Developer.. Education: Self-taught Developer. Skills: Node.js, TensorFlow, CI/CD.","Looking for a Data Scientist with expertise in Machine Learning, TypeScript, GCP, Scikit-Learn.",0.1439463612920053,0,role frontend developer experience 4 year experience frontend developer education self teach developer skill node.js tensorflow ci cd,look data scientist expertise machine learning typescript gcp scikit learn,0.0,0.5745285492412798
5,"Role: Frontend Developer. Experience: 5 years of experience in Frontend Developer.. Education: BS in Computer Science. Skills: NLP, Communication Skills, Terraform.","Looking for a Software Engineer with expertise in Ansible, Linux, REST API, DevOps, Django, Jenkins.",0.3365969950156496,0,role frontend developer experience 5 year experience frontend developer education bs computer science skill nlp communication skills terraform,look software engineer expertise ansible linux rest api devops django jenkins,0.0,0.6498160639399625
6,"Role: DevOps Engineer. Experience: 2 years of experience in DevOps Engineer.. Education: BS in Computer Science. Skills: Data Analysis, AWS, CI/CD, React, GraphQL, Azure, Redis.","Looking for a Data Scientist with expertise in Keras, C++, Scikit-Learn, Java, TypeScript.",0.2779879760713846,0,role devops engineer experience 2 year experience devops engineer education bs computer science skill data analysis aws ci cd react graphql azure redis,look data scientist expertise keras c++ scikit learn java typescript,0.0,0.6951649694718323
7,"Role: Data Scientist. Experience: 1 years of experience in Data Scientist.. Education: Self-taught Developer. Skills: CSS, Vue, Django, JavaScript.","Looking for a ML Engineer with expertise in MySQL, Hadoop, Scikit-Learn, PostgreSQL, JavaScript, Data Analysis.",0.2847192223294413,0,role data scientist experience 1 year experience data scientist education self teach developer skill css vue django javascript,look ml engineer expertise mysql hadoop scikit learn postgresql javascript data analysis,0.16666666666666666,0.7167863009057337
8,"Role: Frontend Developer. Experience: 11 years of experience in Frontend Developer.. Education: Self-taught Developer. Skills: MongoDB, Spark, REST API, Express, Ansible, AWS, Agile.","Looking for a Software Engineer with expertise in Spark, NLP, Data Science, C++, Power BI, CI/CD, CSS.",0.3821657841302471,0,role frontend developer experience 11 year experience frontend developer education self teach developer skill mongodb spark rest api express ansible aws agile,look software engineer expertise spark nlp data science c++ power bi ci cd css,0.14285714285714285,0.7848412369652272
9,"Role: DevOps Engineer. Experience: 8 years of experience in DevOps Engineer.. Education: PhD in AI. Skills: Jenkins, Problem Solving, DevOps.","Looking for a Data Scientist with expertise in HTML, Tableau, GCP, Redis, Pandas.",0.1391156910527586,0,role devops engineer experience 8 year experience devops engineer education phd ai skill jenkins problem solving devops,look data scientist expertise html tableau gcp redis pandas,0.0,0.530973547198623
10,"Role: Frontend Developer. Experience: 11 years of experience in Frontend Developer.. Education: PhD in AI. Skills: REST API, Tableau, Project Management, Flask, DevOps, Keras, Data Science, Elasticsearch.","Looking for a Software Engineer with expertise in React, Express, MongoDB, Project Management.",0.3687806593205189,0,role frontend developer experience 11 year experience frontend developer education phd ai skill rest api tableau project management flask devops keras data science elasticsearch,look software engineer expertise react express mongodb project management,0.25,0.7422343670619035
11,"Role: ML Engineer. Experience: 1 years of experience in ML Engineer.. Education: BS in Computer Science. Skills: FastAPI, Terraform, Computer Vision.","Looking for a DevOps Engineer with expertise in GitHub, Vue, CI/CD, Docker, FastAPI, JavaScript, Machine Learning.",0.2298389624947949,0,role ml engineer experience 1 year experience ml engineer education bs computer science skill fastapi terraform computer vision,look devops engineer expertise github vue ci cd docker fastapi javascript machine learning,0.125,0.47690711090409144
12,"Role: Data Scientist. Experience: 15 years of experience in Data Scientist.. Education: BS in Computer Science. Skills: Git, Machine Learning, NLP.","Looking for a Software Engineer with expertise in MySQL, Azure, Flask, Excel, Data Analysis, PostgreSQL.",0.1393095211073368,0,role data scientist experience 15 year experience data scientist education bs computer science skill git machine learning nlp,look software engineer expertise mysql azure flask excel data analysis postgresql,0.0,0.761862632194395
13,"Role: Software Engineer. Experience: 10 years of experience in Software Engineer.. Education: PhD in AI. Skills: AWS, Microservices, GitHub, TypeScript.","Looking for a DevOps Engineer with expertise in FastAPI, Jenkins, Vue, Agile, Data Analysis, Excel, NumPy.",0.1060311775938193,0,role software engineer experience 10 year experience software engineer education phd ai skill aw microservices github typescript,look devops engineer expertise fastapi jenkins vue agile data analysis excel numpy,0.0,0.7062930821285874
14,"Role: ML Engineer. Experience: 14 years of experience in ML Engineer.. Education: PhD in AI. Skills: Angular, Keras, Cloud Computing, PostgreSQL, C#, Machine Learning, Terraform, TensorFlow.","Looking for a Software Engineer with expertise in Angular, Machine Learning, GraphQL, Deep Learning, SQL.",0.4035062162577654,0,role ml engineer experience 14 year experience ml engineer education phd ai skill angular keras cloud computing postgresql c machine learning terraform tensorflow,look software engineer expertise angular machine learning graphql deep learning sql,0.4,0.8352389247571118
15,"Role: DevOps Engineer. Experience: 15 years of experience in DevOps Engineer.. Education: BS in Computer Science. Skills: GraphQL, Angular, Scrum.","Looking for a Data Scientist with expertise in Deep Learning, Problem Solving, Redis, TensorFlow, Flask, Excel, Django.",0.162280877703713,0,role devops engineer experience 15 year experience devops engineer education bs computer science skill graphql angular scrum,look data scientist expertise deep learning problem solving redis tensorflow flask excel django,0.0,0.6737369065015653
16,"Role: Software Engineer. Experience: 8 years of experience in Software Engineer.. Education: BS in Computer Science. Skills: Problem Solving, Terraform, MongoDB, NumPy, PyTorch.","Looking for a Software Engineer with expertise in Express, Excel, GCP, Ansible.",0.3474581692890267,0,role software engineer experience 8 year experience software engineer education bs computer science skill problem solving terraform mongodb numpy pytorch,look software engineer expertise express excel gcp ansible,0.0,0.7599260971610157
17,"Role: Data Scientist. Experience: 4 years of experience in Data Scientist.. Education: BS in Computer Science. Skills: Cloud Computing, Power BI, Java, NumPy, JavaScript, C++, Django, TensorFlow.","Looking for a Data Scientist with expertise in TensorFlow, Python, Express, Communication Skills, TypeScript, AWS, Spark.",0.433498710518958,0,role data scientist experience 4 year experience data scientist education bs computer science skill cloud computing power bi java numpy javascript c++ django tensorflow,look data scientist expertise tensorflow python express communication skills typescript aws spark,0.14285714285714285,0.8353868879081172
