resume_id,resume_text,job_description,relevance_score,label
0,"Role: DevOps Engineer. Experience: 12 years of experience in DevOps Engineer.. Education: BS in Computer Science. Skills: CI/CD, Keras, Selenium, Redis.","Looking for a Data Scientist with expertise in Computer Vision, JavaScript, Scikit-Learn, Azure, TensorFlow, Flask, Deep Learning.",0.16127673629500883,0
1,"Role: ML Engineer. Experience: 14 years of experience in ML Engineer.. Education: Self-taught Developer. Skills: Scrum, Ansible, Keras, TensorFlow.","Looking for a Data Scientist with expertise in REST API, TensorFlow, C#, GCP, Flask, DevOps.",0.22188828355256118,0
2,"Role: Frontend Developer. Experience: 15 years of experience in Frontend Developer.. Education: PhD in AI. Skills: Flask, PostgreSQL, AWS, Computer Vision, C#, Redis, GitHub, NoSQL.","Looking for a DevOps Engineer with expertise in Power BI, Problem Solving, DevOps, Ansible, AWS, Angular.",0.18637044816353487,0
3,"Role: ML Engineer. Experience: 15 years of experience in ML Engineer.. Education: BS in Computer Science. Skills: Data Analysis, HTML, NLP, DevOps, Tableau.","Looking for a ML Engineer with expertise in Pandas, Elasticsearch, FastAPI, DevOps, Excel, Node.js.",0.475007427599375,0
4,"Role: Frontend Developer. Experience: 4 years of experience in Frontend Developer.. Education: Self-taught Developer. Skills: Node.js, TensorFlow, CI/CD.","Looking for a Data Scientist with expertise in Machine Learning, TypeScript, GCP, Scikit-Learn.",0.1439463612920053,0
5,"Role: Frontend Developer. Experience: 5 years of experience in Frontend Developer.. Education: BS in Computer Science. Skills: NLP, Communication Skills, Terraform.","Looking for a Software Engineer with expertise in Ansible, Linux, REST API, DevOps, Django, Jenkins.",0.33659699501564966,0
6,"Role: DevOps Engineer. Experience: 2 years of experience in DevOps Engineer.. Education: BS in Computer Science. Skills: Data Analysis, AWS, CI/CD, React, GraphQL, Azure, Redis.","Looking for a Data Scientist with expertise in Keras, C++, Scikit-Learn, Java, TypeScript.",0.2779879760713846,0
7,"Role: Data Scientist. Experience: 1 years of experience in Data Scientist.. Education: Self-taught Developer. Skills: CSS, Vue, Django, JavaScript.","Looking for a ML Engineer with expertise in MySQL, Hadoop, Scikit-Learn, PostgreSQL, JavaScript, Data Analysis.",0.2847192223294413,0
8,"Role: Frontend Developer. Experience: 11 years of experience in Frontend Developer.. Education: Self-taught Developer. Skills: MongoDB, Spark, REST API, Express, Ansible, AWS, Agile.","Looking for a Software Engineer with expertise in Spark, NLP, Data Science, C++, Power BI, CI/CD, CSS.",0.3821657841302471,0
9,"Role: DevOps Engineer. Experience: 8 years of experience in DevOps Engineer.. Education: PhD in AI. Skills: Jenkins, Problem Solving, DevOps.","Looking for a Data Scientist with expertise in HTML, Tableau, GCP, Redis, Pandas.",0.13911569105275867,0
10,"Role: Frontend Developer. Experience: 11 years of experience in Frontend Developer.. Education: PhD in AI. Skills: REST API, Tableau, Project Management, Flask, DevOps, Keras, Data Science, Elasticsearch.","Looking for a Software Engineer with expertise in React, Express, MongoDB, Project Management.",0.36878065932051896,0
11,"Role: ML Engineer. Experience: 1 years of experience in ML Engineer.. Education: BS in Computer Science. Skills: FastAPI, Terraform, Computer Vision.","Looking for a DevOps Engineer with expertise in GitHub, Vue, CI/CD, Docker, FastAPI, JavaScript, Machine Learning.",0.22983896249479496,0
12,"Role: Data Scientist. Experience: 15 years of experience in Data Scientist.. Education: BS in Computer Science. Skills: Git, Machine Learning, NLP.","Looking for a Software Engineer with expertise in MySQL, Azure, Flask, Excel, Data Analysis, PostgreSQL.",0.13930952110733685,0
13,"Role: Software Engineer. Experience: 10 years of experience in Software Engineer.. Education: PhD in AI. Skills: AWS, Microservices, GitHub, TypeScript.","Looking for a DevOps Engineer with expertise in FastAPI, Jenkins, Vue, Agile, Data Analysis, Excel, NumPy.",0.10603117759381933,0
14,"Role: ML Engineer. Experience: 14 years of experience in ML Engineer.. Education: PhD in AI. Skills: Angular, Keras, Cloud Computing, PostgreSQL, C#, Machine Learning, Terraform, TensorFlow.","Looking for a Software Engineer with expertise in Angular, Machine Learning, GraphQL, Deep Learning, SQL.",0.4035062162577654,0
15,"Role: DevOps Engineer. Experience: 15 years of experience in DevOps Engineer.. Education: BS in Computer Science. Skills: GraphQL, Angular, Scrum.","Looking for a Data Scientist with expertise in Deep Learning, Problem Solving, Redis, TensorFlow, Flask, Excel, Django.",0.16228087770371308,0
16,"Role: Software Engineer. Experience: 8 years of experience in Software Engineer.. Education: BS in Computer Science. Skills: Problem Solving, Terraform, MongoDB, NumPy, PyTorch.","Looking for a Software Engineer with expertise in Express, Excel, GCP, Ansible.",0.34745816928902673,0
17,"Role: Data Scientist. Experience: 4 years of experience in Data Scientist.. Education: BS in Computer Science. Skills: Cloud Computing, Power BI, Java, NumPy, JavaScript, C++, Django, TensorFlow.","Looking for a Data Scientist with expertise in TensorFlow, Python, Express, Communication Skills, TypeScript, AWS, Spark.",0.43349871051895805,0
18,"Role: ML Engineer. Experience: 15 years of experience in ML Engineer.. Education: Self-taught Developer. Skills: CI/CD, Communication Skills, React, Project Management, Linux.","Looking for a Data Scientist with expertise in REST API, MySQL, Computer Vision, MongoDB, CI/CD.",0.295020601871577,0
19,"Role: Frontend Developer. Experience: 9 years of experience in Frontend Developer.. Education: BS in Computer Science. Skills: React, Agile, Data Science, GitHub, TypeScript, Docker.","Looking for a Frontend Developer with expertise in Selenium, CSS, GraphQL, Agile, Keras.",0.42803045385933036,0
20,"Role: Frontend Developer. Experience: 8 years of experience in Frontend Developer.. Education: Self-taught Developer. Skills: Computer Vision, SQL, Java, JavaScript, GCP, Vue, Data Science, Git.","Looking for a Frontend Developer with expertise in Pandas, Tableau, GraphQL, GitHub, Flask, Communication Skills, Scikit-Learn.",0.40871871914499414,0
21,"Role: Data Scientist. Experience: 3 years of experience in Data Scientist.. Education: BS in Computer Science. Skills: Angular, Spark, DevOps, Pandas, Node.js, Docker, Microservices.","Looking for a Frontend Developer with expertise in Agile, Cloud Computing, DevOps, Angular, GraphQL, SQL, Microservices.",0.41787610236092715,0
22,"Role: Frontend Developer. Experience: 14 years of experience in Frontend Developer.. Education: MS in Data Science. Skills: CSS, NumPy, Scikit-Learn, Flask.","Looking for a Data Scientist with expertise in NLP, Ansible, Node.js, Vue.",0.13914457687283904,0
23,"Role: Frontend Developer. Experience: 13 years of experience in Frontend Developer.. Education: MS in Data Science. Skills: Django, Computer Vision, Hadoop, NoSQL, Machine Learning, Deep Learning, MongoDB, FastAPI.","Looking for a ML Engineer with expertise in GraphQL, Machine Learning, NumPy, Django, PostgreSQL.",0.46964199428919434,0
24,"Role: ML Engineer. Experience: 1 years of experience in ML Engineer.. Education: BS in Computer Science. Skills: C#, Git, GraphQL, Machine Learning, MongoDB.","Looking for a Software Engineer with expertise in Express, Node.js, Computer Vision, Selenium, Redis, Kubernetes, Linux.",0.3122621234810204,0
25,"Role: ML Engineer. Experience: 10 years of experience in ML Engineer.. Education: PhD in AI. Skills: Problem Solving, TypeScript, Azure, Selenium, MongoDB, Django, Microservices.","Looking for a ML Engineer with expertise in Flask, NumPy, Node.js, Jenkins.",0.3665599409569082,0
26,"Role: Frontend Developer. Experience: 2 years of experience in Frontend Developer.. Education: Self-taught Developer. Skills: GCP, Node.js, NoSQL, MongoDB, Computer Vision, Scikit-Learn, JavaScript, Project Management.","Looking for a DevOps Engineer with expertise in Python, AWS, PostgreSQL, Ansible.",0.14387789789403269,0
27,"Role: DevOps Engineer. Experience: 3 years of experience in DevOps Engineer.. Education: PhD in AI. Skills: PostgreSQL, Flask, CSS, Microservices, NLP, Hadoop.","Looking for a Frontend Developer with expertise in Data Analysis, GraphQL, TensorFlow, Ansible, Node.js, Terraform, C#.",0.1583048676403705,0
28,"Role: Frontend Developer. Experience: 4 years of experience in Frontend Developer.. Education: BS in Computer Science. Skills: Spark, Power BI, JavaScript, Docker.","Looking for a DevOps Engineer with expertise in C++, AWS, NoSQL, Azure, Communication Skills.",0.223871735877829,0
29,"Role: Frontend Developer. Experience: 10 years of experience in Frontend Developer.. Education: Self-taught Developer. Skills: Machine Learning, TypeScript, CSS.","Looking for a Frontend Developer with expertise in GCP, Docker, Angular, Data Science, Tableau, JavaScript.",0.25180775384638737,0
30,"Role: DevOps Engineer. Experience: 15 years of experience in DevOps Engineer.. Education: BS in Computer Science. Skills: Project Management, Communication Skills, Vue, Power BI, Problem Solving, React, GraphQL, REST API.","Looking for a DevOps Engineer with expertise in React, TensorFlow, GitHub, Deep Learning, Terraform, Microservices.",0.5305107291728806,0
31,"Role: Software Engineer. Experience: 14 years of experience in Software Engineer.. Education: MS in Data Science. Skills: PyTorch, Microservices, Selenium, FastAPI, Node.js, C++.","Looking for a DevOps Engineer with expertise in Scrum, MySQL, Computer Vision, FastAPI, Machine Learning, Deep Learning.",0.17915633467638808,0
32,"Role: Software Engineer. Experience: 5 years of experience in Software Engineer.. Education: MS in Data Science. Skills: Tableau, Azure, Python, Terraform, JavaScript, Linux, Scikit-Learn, Cloud Computing.","Looking for a DevOps Engineer with expertise in GitHub, Ansible, C#, Vue, MySQL, Selenium.",0.36186074520258504,0
33,"Role: Frontend Developer. Experience: 11 years of experience in Frontend Developer.. Education: BS in Computer Science. Skills: Jenkins, DevOps, Keras, Ansible, Elasticsearch, GCP, Flask, Vue.","Looking for a Software Engineer with expertise in Python, Elasticsearch, REST API, Scikit-Learn, Azure, Redis.",0.2507030880353788,0
34,"Role: DevOps Engineer. Experience: 11 years of experience in DevOps Engineer.. Education: Self-taught Developer. Skills: GCP, JavaScript, Node.js, GitHub, Excel, FastAPI, Jenkins.","Looking for a Software Engineer with expertise in FastAPI, Pandas, Kubernetes, GCP.",0.38938873298125176,0
35,"Role: ML Engineer. Experience: 9 years of experience in ML Engineer.. Education: PhD in AI. Skills: GraphQL, FastAPI, DevOps, Pandas, Express.","Looking for a Frontend Developer with expertise in AWS, SQL, MongoDB, NoSQL, Deep Learning, TypeScript, JavaScript.",0.09034131559352986,0
36,"Role: DevOps Engineer. Experience: 10 years of experience in DevOps Engineer.. Education: MS in Data Science. Skills: NumPy, Tableau, Agile, Project Management.","Looking for a Software Engineer with expertise in Docker, Cloud Computing, Angular, PostgreSQL, Kubernetes, Project Management.",0.3058093713795619,0
37,"Role: Data Scientist. Experience: 13 years of experience in Data Scientist.. Education: BS in Computer Science. Skills: Git, React, MySQL.","Looking for a DevOps Engineer with expertise in Scrum, Git, NLP, Problem Solving, C#.",0.4004711003244128,0
38,"Role: Data Scientist. Experience: 14 years of experience in Data Scientist.. Education: PhD in AI. Skills: Cloud Computing, Pandas, Git, Docker, Flask.","Looking for a Software Engineer with expertise in Vue, Django, NoSQL, Deep Learning, NumPy, Data Analysis.",0.354173534292699,0
39,"Role: Data Scientist. Experience: 15 years of experience in Data Scientist.. Education: PhD in AI. Skills: Java, Jenkins, C++, SQL, NLP.","Looking for a ML Engineer with expertise in GraphQL, Keras, Pandas, Data Analysis, C++, Linux.",0.29819244642060166,0
40,"Role: Data Scientist. Experience: 3 years of experience in Data Scientist.. Education: BS in Computer Science. Skills: PyTorch, Linux, Project Management, C++.","Looking for a Software Engineer with expertise in NumPy, Flask, Cloud Computing, GCP, Hadoop, PyTorch, Git.",0.402082376607817,0
